epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,128.972,1.7906,3.39962,3.79494,1.75596,0,0.34282,0.298,0.21196,0.08291,0.33214,0.26554,0.19494,0.07453,2.01372,3.41206,2.7676,2.05794,0,0.000237508,0.000237508,0.000237508
2,248.753,1.77571,3.11867,2.65015,1.72374,0,0.35714,0.31669,0.23361,0.10307,0.41258,0.29508,0.23913,0.10219,1.92637,3.13198,2.67066,1.99582,0,0.000470801,0.000470801,0.000470801
3,366.104,1.7876,3.1112,2.57647,1.73271,0,0.36801,0.32123,0.2338,0.10938,0.35592,0.31159,0.23063,0.10496,1.98577,3.18369,2.59225,1.95201,0,0.000699381,0.000699381,0.000699381
4,490,1.74597,3.01538,2.44115,1.69813,0,0.52915,0.31219,0.28635,0.14324,0.51247,0.3135,0.28,0.1302,1.85754,3.08273,2.30688,1.90816,0,0.000692794,0.000692794,0.000692794
5,589.88,1.69305,2.91864,2.28875,1.65455,0,0.45417,0.32973,0.34011,0.15357,0.45388,0.32746,0.32729,0.14315,1.85923,2.93456,2.17958,1.8563,0,0.000685726,0.000685726,0.000685726
6,685.614,1.6603,2.82639,2.19447,1.62522,0,0.64485,0.40299,0.41366,0.20901,0.60889,0.38691,0.37475,0.1868,1.79484,2.80243,2.01772,1.77462,0,0.000678657,0.000678657,0.000678657
7,790.361,1.60692,2.74852,2.06323,1.57992,0,0.60087,0.40151,0.38666,0.20292,0.60214,0.38883,0.37397,0.17676,1.76007,2.82451,2.04589,1.78464,0,0.000671588,0.000671588,0.000671588
8,895.268,1.59098,2.66946,1.97889,1.55923,0,0.64203,0.40899,0.42352,0.22432,0.6341,0.39384,0.41121,0.20097,1.75183,2.75752,1.9011,1.75983,0,0.00066452,0.00066452,0.00066452
9,996.123,1.54893,2.59059,1.89714,1.52729,0,0.55924,0.41962,0.41853,0.22142,0.52268,0.42863,0.41378,0.18839,1.76312,2.76088,2.00969,1.77078,0,0.000657451,0.000657451,0.000657451
10,1096.86,1.52613,2.59864,1.84544,1.51102,0,0.62701,0.45178,0.42986,0.22454,0.61429,0.43164,0.42119,0.19835,1.6641,2.64893,1.85989,1.67799,0,0.000650383,0.000650383,0.000650383
11,1195.3,1.48989,2.53403,1.8019,1.48621,0,0.60524,0.47763,0.48818,0.25717,0.60285,0.4712,0.47121,0.23164,1.66669,2.6678,1.77555,1.68939,0,0.000643314,0.000643314,0.000643314
12,1297.35,1.46454,2.48601,1.72832,1.47871,0,0.52894,0.48719,0.56189,0.29787,0.53779,0.49484,0.56184,0.26332,1.64515,2.61573,1.69792,1.62501,0,0.000636245,0.000636245,0.000636245
13,1408.74,1.46027,2.47656,1.70964,1.47056,0,0.59091,0.47224,0.57859,0.28125,0.63127,0.4336,0.55743,0.25354,1.68065,2.66838,1.71253,1.69669,0,0.000629177,0.000629177,0.000629177
14,1524.33,1.42444,2.41682,1.66741,1.45059,0,0.56082,0.57873,0.58544,0.28453,0.53119,0.55318,0.55421,0.26965,1.64647,2.60389,1.7224,1.64954,0,0.000622108,0.000622108,0.000622108
15,1624.17,1.40238,2.36701,1.59043,1.42747,0,0.51441,0.50593,0.52137,0.28291,0.53004,0.51773,0.52685,0.2536,1.64736,2.64783,1.68643,1.65921,0,0.00061504,0.00061504,0.00061504
16,1720.7,1.40151,2.36055,1.57381,1.42093,0,0.65383,0.50083,0.50616,0.27678,0.6481,0.49894,0.50262,0.2498,1.66112,2.6763,1.65237,1.65404,0,0.000607971,0.000607971,0.000607971
17,1821.72,1.384,2.33648,1.5208,1.41154,0,0.63657,0.50919,0.61825,0.3335,0.63921,0.49338,0.62777,0.27904,1.6382,2.57108,1.63024,1.66001,0,0.000600902,0.000600902,0.000600902
18,1923.86,1.3568,2.29986,1.48986,1.39241,0,0.49075,0.68235,0.62572,0.35167,0.48489,0.67127,0.61701,0.32865,1.59529,2.55817,1.59553,1.60288,0,0.000593834,0.000593834,0.000593834
19,2024.28,1.33556,2.25889,1.47532,1.37823,0,0.46796,0.70326,0.56626,0.31343,0.47451,0.70547,0.57358,0.28705,1.65016,2.52242,1.61421,1.65471,0,0.000586765,0.000586765,0.000586765
20,2126.53,1.33036,2.22396,1.42969,1.38178,0,0.55019,0.62846,0.60564,0.32669,0.56072,0.62521,0.60033,0.2736,1.60612,2.60055,1.57618,1.61711,0,0.000579697,0.000579697,0.000579697
21,2231.31,1.32027,2.21008,1.40543,1.37212,0,0.51915,0.63888,0.60485,0.32459,0.51707,0.63435,0.60131,0.29014,1.65604,2.54974,1.66967,1.67279,0,0.000572628,0.000572628,0.000572628
22,2337.98,1.30886,2.18968,1.37424,1.3619,0,0.61939,0.56513,0.62284,0.32358,0.62007,0.57361,0.63167,0.28452,1.64775,2.55394,1.6069,1.66004,0,0.000565559,0.000565559,0.000565559
23,2445.65,1.28679,2.16002,1.34767,1.34203,0,0.61015,0.62236,0.63827,0.32671,0.60579,0.62844,0.6362,0.28372,1.60291,2.52623,1.50547,1.59288,0,0.000558491,0.000558491,0.000558491
24,2545.03,1.27716,2.14459,1.30791,1.33227,0,0.55705,0.7061,0.63935,0.32158,0.55197,0.69848,0.63476,0.30009,1.61268,2.58012,1.55737,1.62354,0,0.000551422,0.000551422,0.000551422
25,2629.54,1.26962,2.10964,1.28606,1.32705,0,0.70691,0.54027,0.56222,0.32099,0.7088,0.56119,0.57526,0.29598,1.56263,2.55656,1.53296,1.58904,0,0.000544354,0.000544354,0.000544354
26,2693.03,1.25309,2.1002,1.25434,1.31764,0,0.63395,0.66894,0.65246,0.35584,0.63232,0.6677,0.644,0.32269,1.60755,2.55927,1.52775,1.61379,0,0.000537285,0.000537285,0.000537285
27,2756.67,1.23126,2.09118,1.23192,1.30106,0,0.64451,0.66046,0.6275,0.36144,0.64366,0.66224,0.62516,0.3169,1.55308,2.50476,1.47193,1.57886,0,0.000530216,0.000530216,0.000530216
28,2820.14,1.22707,2.06899,1.21884,1.29474,0,0.53071,0.65546,0.57594,0.31167,0.51885,0.6401,0.57008,0.27735,1.68709,2.62292,1.52983,1.68719,0,0.000523148,0.000523148,0.000523148
29,2883.76,1.21662,2.05472,1.19758,1.2935,0,0.61162,0.645,0.6658,0.38053,0.61838,0.65197,0.66722,0.32705,1.61716,2.57416,1.50172,1.64533,0,0.000516079,0.000516079,0.000516079
30,2948.15,1.21023,2.03202,1.18704,1.28701,0,0.68179,0.63862,0.67585,0.36408,0.63529,0.65735,0.66789,0.32041,1.60156,2.58538,1.46418,1.66383,0,0.000509011,0.000509011,0.000509011
31,3012.2,1.19781,2.02845,1.15992,1.27895,0,0.62962,0.64515,0.67548,0.37549,0.67119,0.62111,0.67824,0.32251,1.62149,2.52127,1.50816,1.64202,0,0.000501942,0.000501942,0.000501942
32,3075.71,1.17566,1.98641,1.1326,1.2632,0,0.5993,0.64029,0.65432,0.36226,0.59331,0.64727,0.65246,0.30801,1.61451,2.56257,1.49129,1.63503,0,0.000494873,0.000494873,0.000494873
33,3139.01,1.19071,1.99491,1.1359,1.27391,0,0.68319,0.61359,0.65434,0.3658,0.68256,0.61268,0.65167,0.30975,1.60937,2.53391,1.48561,1.64829,0,0.000487805,0.000487805,0.000487805
34,3205.9,1.15574,1.95033,1.08024,1.24907,0,0.62615,0.66439,0.61566,0.35333,0.62567,0.66681,0.61125,0.31638,1.60059,2.57651,1.48075,1.6466,0,0.000480736,0.000480736,0.000480736
